version,id,userid,category,queryname,text,mp3Link,timestamp
easyVer,392,A7KLTVEIASF4J,name,The Hunger Games,I would like to watch The Hunger Games,file:///Users/cathy/Projects/website1/results/voice3/easyVer+The Hunger Games+A7KLTVEIASF4J.mp3,10/18/18 20:51
easyVer,394,A7KLTVEIASF4J,actor,Brad Pitt,find me a movie that has Brad Pitt in it,file:///Users/cathy/Projects/website1/results/voice3/easyVer+Brad Pitt+A7KLTVEIASF4J.mp3,10/18/18 20:52
easyVer,395,A7KLTVEIASF4J,movie based,like Titanic,find me a movie that's kind of like the Titanic,file:///Users/cathy/Projects/website1/results/voice3/easyVer+like Titanic+A7KLTVEIASF4J.mp3,10/18/18 20:52
easyVer,396,A7KLTVEIASF4J,combination,horror  gt2010,find me horror movie that was made after 2010,file:///Users/cathy/Projects/website1/results/voice3/easyVer+horror  gt2010+A7KLTVEIASF4J.mp3,10/18/18 20:52
easyVer,351,AQ7RNVB2GZKUZ,region,China,what's a good movie that was made in China,file:///Users/cathy/Projects/website1/results/voice3/easyVer+China+AQ7RNVB2GZKUZ.mp3,10/18/18 20:03
easyVer,354,AQ7RNVB2GZKUZ,deep feature 1,explosions,find me a movie that features lots of explosions,file:///Users/cathy/Projects/website1/results/voice3/easyVer+explosions+AQ7RNVB2GZKUZ.mp3,10/18/18 20:04
easyVer,355,AQ7RNVB2GZKUZ,deep feature 2,interesting charactors,find me a movie that has interesting characters,file:///Users/cathy/Projects/website1/results/voice3/easyVer+interesting charactors+AQ7RNVB2GZKUZ.mp3,10/18/18 20:04
easyVer,356,AQ7RNVB2GZKUZ,name,When Harry Met Sally...,I want to watch When Harry Met Sally,file:///Users/cathy/Projects/website1/results/voice3/easyVer+When Harry Met Sally...+AQ7RNVB2GZKUZ.mp3,10/18/18 20:04
easyVer,357,AQ7RNVB2GZKUZ,quality,critically acclaimed,find me some movies that are critically acclaimed,file:///Users/cathy/Projects/website1/results/voice3/easyVer+critically acclaimed+AQ7RNVB2GZKUZ.mp3,10/18/18 20:04
easyVer,362,AQ7RNVB2GZKUZ,combination,romantic  funny,I want to watch romantic comedy,file:///Users/cathy/Projects/website1/results/voice3/easyVer+romantic  funny+AQ7RNVB2GZKUZ.mp3,10/18/18 20:05
easyVer,364,A1VR49TB3Q4BV8,Open question,movieopen Question 1,I want to watch action movies,file:///Users/cathy/Projects/website1/results/voice3/easyVer+movieopen Question 1+A1VR49TB3Q4BV8.mp3,10/18/18 20:18
easyVer,366,A1VR49TB3Q4BV8,Open question,movieopen Question ,I would like to watch a movie,file:///Users/cathy/Projects/website1/results/voice3/easyVer+movieopen Question +A1VR49TB3Q4BV8.mp3,10/18/18 20:18
easyVer,368,A1VR49TB3Q4BV8,genre,romance,I want to watch a love movie,file:///Users/cathy/Projects/website1/results/voice3/easyVer+romance+A1VR49TB3Q4BV8.mp3,10/18/18 20:18
easyVer,370,A1VR49TB3Q4BV8,time,2000s,I want to watch a movie in the 2000s,file:///Users/cathy/Projects/website1/results/voice3/easyVer+2000s+A1VR49TB3Q4BV8.mp3,10/18/18 20:19
easyVer,371,A1VR49TB3Q4BV8,director,Wes Anderson,I want to watch a movie about Wes Anderson,file:///Users/cathy/Projects/website1/results/voice3/easyVer+Wes Anderson+A1VR49TB3Q4BV8.mp3,10/18/18 20:19
easyVer,372,A1VR49TB3Q4BV8,deep feature 1,explosions,I want to watch a movie about explosions,file:///Users/cathy/Projects/website1/results/voice3/easyVer+explosions+A1VR49TB3Q4BV8.mp3,10/18/18 20:19
easyVer,373,A1VR49TB3Q4BV8,deep feature 2,exciting plot,I want to watch a movie with shining plot,file:///Users/cathy/Projects/website1/results/voice3/easyVer+exciting plot+A1VR49TB3Q4BV8.mp3,10/18/18 20:19
easyVer,374,A1VR49TB3Q4BV8,name,The Hunger Games,I want to watch The Hunger Games,file:///Users/cathy/Projects/website1/results/voice3/easyVer+The Hunger Games+A1VR49TB3Q4BV8.mp3,10/18/18 20:19
easyVer,375,A1VR49TB3Q4BV8,quality,best,I want to watch the best movie,file:///Users/cathy/Projects/website1/results/voice3/easyVer+best+A1VR49TB3Q4BV8.mp3,10/18/18 20:19
easyVer,376,A1VR49TB3Q4BV8,actor,Jennifer Lawrence,I want to watch a movie on Jennifer Lawrence,file:///Users/cathy/Projects/website1/results/voice3/easyVer+Jennifer Lawrence+A1VR49TB3Q4BV8.mp3,10/18/18 20:19
easyVer,377,A1VR49TB3Q4BV8,movie based,like Titanic,I want to watch a movie like the Titanic,file:///Users/cathy/Projects/website1/results/voice3/easyVer+like Titanic+A1VR49TB3Q4BV8.mp3,10/18/18 20:20
easyVer,379,A1VR49TB3Q4BV8,combination,Japan  animation,I want to watch it japanimation movie,file:///Users/cathy/Projects/website1/results/voice3/easyVer+Japan  animation+A1VR49TB3Q4BV8.mp3,10/18/18 20:20
easyVer,380,A1VR49TB3Q4BV8,combination,funny  romantic,I want to watch a funny romantic movie,file:///Users/cathy/Projects/website1/results/voice3/easyVer+funny  romantic+A1VR49TB3Q4BV8.mp3,10/18/18 20:20
easyVer,381,A1VR49TB3Q4BV8,context,Friday night,I want to watch a fight in a movie,file:///Users/cathy/Projects/website1/results/voice3/easyVer+Friday night+A1VR49TB3Q4BV8.mp3,10/18/18 20:20
easyVer,383,A7KLTVEIASF4J,Open question,movieopen Question 2,see I'd like to watch a movie right now,file:///Users/cathy/Projects/website1/results/voice3/easyVer+movieopen Question 2+A7KLTVEIASF4J.mp3,10/18/18 20:49
easyVer,385,A7KLTVEIASF4J,genre,comedy,find me a funny movie to watch,file:///Users/cathy/Projects/website1/results/voice3/easyVer+comedy+A7KLTVEIASF4J.mp3,10/18/18 20:50
easyVer,386,A7KLTVEIASF4J,genre,romance,I'd like to watch her those some type of Romance movie,file:///Users/cathy/Projects/website1/results/voice3/easyVer+romance+A7KLTVEIASF4J.mp3,10/18/18 20:50
easyVer,388,A7KLTVEIASF4J,time,2010s,find me movies that were made in 2010,file:///Users/cathy/Projects/website1/results/voice3/easyVer+2010s+A7KLTVEIASF4J.mp3,10/18/18 20:51
easyVer,391,A7KLTVEIASF4J,deep feature 2,exciting plot,find me a film an exciting plot,file:///Users/cathy/Projects/website1/results/voice3/easyVer+exciting plot+A7KLTVEIASF4J.mp3,10/18/18 20:51
easyVer,393,A7KLTVEIASF4J,quality,best,find me some of the best movies out there,file:///Users/cathy/Projects/website1/results/voice3/easyVer+best+A7KLTVEIASF4J.mp3,10/18/18 20:52
easyVer,397,A7KLTVEIASF4J,combination,Japan  animation,find me a Japanese animation movie,file:///Users/cathy/Projects/website1/results/voice3/easyVer+Japan  animation+A7KLTVEIASF4J.mp3,10/18/18 20:52
easyVer,398,A7KLTVEIASF4J,combination,funny  romantic,can you find me a romantic movie that's kind of funny,file:///Users/cathy/Projects/website1/results/voice3/easyVer+funny  romantic+A7KLTVEIASF4J.mp3,10/18/18 20:52
easyVer,399,A7KLTVEIASF4J,context,Friday night,I want to find a movie for Friday night,file:///Users/cathy/Projects/website1/results/voice3/easyVer+Friday night+A7KLTVEIASF4J.mp3,10/18/18 20:52
easyVer,400,A1A1A9UHNQCI9Y,Open question,movieopen Question 1,I want to find a comedy that was released in 2017,file:///Users/cathy/Projects/website1/results/voice3/easyVer+movieopen Question 1+A1A1A9UHNQCI9Y.mp3,10/18/18 21:22
easyVer,401,A1A1A9UHNQCI9Y,Open question,movieopen Question 2,can you recommend an action movie for me,file:///Users/cathy/Projects/website1/results/voice3/easyVer+movieopen Question 2+A1A1A9UHNQCI9Y.mp3,10/18/18 21:22
easyVer,402,A1A1A9UHNQCI9Y,Open question,movieopen Question ,I'd like to see a horror movie,file:///Users/cathy/Projects/website1/results/voice3/easyVer+movieopen Question +A1A1A9UHNQCI9Y.mp3,10/18/18 21:23
easyVer,403,A9ZCY6FLUCIU1,Open question,movieopen Question 1,hi Siri I'd like to watch a movie from the 1970s maybe a comedy maybe Woody Allen,file:///Users/cathy/Projects/website1/results/voice3/easyVer+movieopen Question 1+A9ZCY6FLUCIU1.mp3,10/18/18 21:24
easyVer,404,A1A1A9UHNQCI9Y,genre,comedy,I like comedy and I want to find a movie that's a comedy,file:///Users/cathy/Projects/website1/results/voice3/easyVer+comedy+A1A1A9UHNQCI9Y.mp3,10/18/18 21:24
easyVer,405,A9ZCY6FLUCIU1,Open question,movieopen Question 2,I'd like a movie from the 70s,file:///Users/cathy/Projects/website1/results/voice3/easyVer+movieopen Question 2+A9ZCY6FLUCIU1.mp3,10/18/18 21:24
easyVer,406,A1A1A9UHNQCI9Y,genre,romance,I want to find a movie that has a love story,file:///Users/cathy/Projects/website1/results/voice3/easyVer+romance+A1A1A9UHNQCI9Y.mp3,10/18/18 21:24
easyVer,407,A9ZCY6FLUCIU1,Open question,movieopen Question ,I'd like another movie from the 80s can you help me,file:///Users/cathy/Projects/website1/results/voice3/easyVer+movieopen Question +A9ZCY6FLUCIU1.mp3,10/18/18 21:24
easyVer,408,A1A1A9UHNQCI9Y,region,Mexico,I'm looking for a film that was based in Mexico,file:///Users/cathy/Projects/website1/results/voice3/easyVer+Mexico+A1A1A9UHNQCI9Y.mp3,10/18/18 21:25
easyVer,409,A1A1A9UHNQCI9Y,time,2000s,I want action movies that were filmed in the 2000s,file:///Users/cathy/Projects/website1/results/voice3/easyVer+2000s+A1A1A9UHNQCI9Y.mp3,10/18/18 21:25
easyVer,410,A9ZCY6FLUCIU1,genre,comedy,king for a comedy in a romance,file:///Users/cathy/Projects/website1/results/voice3/easyVer+comedy+A9ZCY6FLUCIU1.mp3,10/18/18 21:25
easyVer,411,A1A1A9UHNQCI9Y,director,Stephen Spielberg,five movies that were directed by Steven Spielberg,file:///Users/cathy/Projects/website1/results/voice3/easyVer+Stephen Spielberg+A1A1A9UHNQCI9Y.mp3,10/18/18 21:25
easyVer,412,A1A1A9UHNQCI9Y,deep feature 1,robots,what movies feature robots I'd like to see one of those,file:///Users/cathy/Projects/website1/results/voice3/easyVer+robots+A1A1A9UHNQCI9Y.mp3,10/18/18 21:25
easyVer,413,A1A1A9UHNQCI9Y,deep feature 2,interesting charactors,I want a movie that has quirky or interesting characters,file:///Users/cathy/Projects/website1/results/voice3/easyVer+interesting charactors+A1A1A9UHNQCI9Y.mp3,10/18/18 21:26
easyVer,414,A1A1A9UHNQCI9Y,name,When Harry Met Sally...,can you find When Harry Met Sally,file:///Users/cathy/Projects/website1/results/voice3/easyVer+When Harry Met Sally...+A1A1A9UHNQCI9Y.mp3,10/18/18 21:26
easyVer,415,A1A1A9UHNQCI9Y,quality,critically acclaimed,I want to see a movie that has been reviewed by critics and is critically acclaimed,file:///Users/cathy/Projects/website1/results/voice3/easyVer+critically acclaimed+A1A1A9UHNQCI9Y.mp3,10/18/18 21:27
easyVer,416,A1A1A9UHNQCI9Y,actor,Brad Pitt,find movies that star Brad Pitt,file:///Users/cathy/Projects/website1/results/voice3/easyVer+Brad Pitt+A1A1A9UHNQCI9Y.mp3,10/18/18 21:27
easyVer,417,A1A1A9UHNQCI9Y,movie based,like Titanic,I want to see a movie that's like Titanic,file:///Users/cathy/Projects/website1/results/voice3/easyVer+like Titanic+A1A1A9UHNQCI9Y.mp3,10/18/18 21:27
easyVer,418,A1A1A9UHNQCI9Y,combination,gt2010  horror,I'm interested in horror movies that are made after 2010,file:///Users/cathy/Projects/website1/results/voice3/easyVer+gt2010  horror+A1A1A9UHNQCI9Y.mp3,10/18/18 21:27
easyVer,419,A1A1A9UHNQCI9Y,combination,animation  Japan,I like films that have animation from Japan,file:///Users/cathy/Projects/website1/results/voice3/easyVer+animation  Japan+A1A1A9UHNQCI9Y.mp3,10/18/18 21:28
easyVer,420,A1A1A9UHNQCI9Y,combination,funny  romantic,find titles that are romantic and that are also funny,file:///Users/cathy/Projects/website1/results/voice3/easyVer+funny  romantic+A1A1A9UHNQCI9Y.mp3,10/18/18 21:28
easyVer,421,A1A1A9UHNQCI9Y,context,Friday night,I'd like a movie that would be good to kind of stay in and watch on a Friday night,file:///Users/cathy/Projects/website1/results/voice3/easyVer+Friday night+A1A1A9UHNQCI9Y.mp3,10/18/18 21:28
easyVer,423,AV5FCKI1TTSKR,Open question,movieopen Question 2,can you make a reservation for,file:///Users/cathy/Projects/website1/results/voice3/easyVer+movieopen Question 2+AV5FCKI1TTSKR.mp3,10/18/18 21:50
easyVer,427,AV5FCKI1TTSKR,genre,comedy,do you have a list of movies that are funny but not made for teens more like for adults,file:///Users/cathy/Projects/website1/results/voice3/easyVer+comedy+AV5FCKI1TTSKR.mp3,10/18/18 21:52
easyVer,429,AV5FCKI1TTSKR,region,Mexico,can you give me a list of the movies where the primary actors are from Mexico,file:///Users/cathy/Projects/website1/results/voice3/easyVer+Mexico+AV5FCKI1TTSKR.mp3,10/18/18 21:52
easyVer,436,AV5FCKI1TTSKR,actor,Brad Pitt,when is Brad Pitt Pitt have the next his next movie coming out,file:///Users/cathy/Projects/website1/results/voice3/easyVer+Brad Pitt+AV5FCKI1TTSKR.mp3,10/18/18 21:54
easyVer,437,AV5FCKI1TTSKR,movie based,like Titanic,are there any movies like the Titanic but fictional,file:///Users/cathy/Projects/website1/results/voice3/easyVer+like Titanic+AV5FCKI1TTSKR.mp3,10/18/18 21:54
easyVer,439,AV5FCKI1TTSKR,combination,animation  Japan,what were the top Japanese anime films that came out last year,file:///Users/cathy/Projects/website1/results/voice3/easyVer+animation  Japan+AV5FCKI1TTSKR.mp3,10/18/18 21:55
easyVer,441,AV5FCKI1TTSKR,context,Friday night,can you give me a list of music movies they be on this Friday night,file:///Users/cathy/Projects/website1/results/voice3/easyVer+Friday night+AV5FCKI1TTSKR.mp3,10/18/18 21:55
easyVer,422,AV5FCKI1TTSKR,Open question,movieopen Question 1,hello can you give me a list of movies that are coming out this Friday,file:///Users/cathy/Projects/website1/results/voice3/easyVer+movieopen Question 1+AV5FCKI1TTSKR.mp3,10/18/18 21:49
easyVer,424,AV5FCKI1TTSKR,Open question,movieopen Question 1,can you give me a list of the movies that aren't supposed to be at the movie theater this weekend,file:///Users/cathy/Projects/website1/results/voice3/easyVer+movieopen Question 1+AV5FCKI1TTSKR.mp3,10/18/18 21:50
easyVer,425,AV5FCKI1TTSKR,Open question,movieopen Question 2,can you purchase a ticket for the movie you listed first movie you listed thanks,file:///Users/cathy/Projects/website1/results/voice3/easyVer+movieopen Question 2+AV5FCKI1TTSKR.mp3,10/18/18 21:51
easyVer,426,AV5FCKI1TTSKR,Open question,movieopen Question ,what are the sizes and price of the condiments at the at the movie theater,file:///Users/cathy/Projects/website1/results/voice3/easyVer+movieopen Question +AV5FCKI1TTSKR.mp3,10/18/18 21:51
easyVer,428,AV5FCKI1TTSKR,genre,romance,can you give a list of movies that are romantic but their tragedies,file:///Users/cathy/Projects/website1/results/voice3/easyVer+romance+AV5FCKI1TTSKR.mp3,10/18/18 21:52
easyVer,430,AV5FCKI1TTSKR,time,2010s,can you give me a list of the top movie this last this past decade,file:///Users/cathy/Projects/website1/results/voice3/easyVer+2010s+AV5FCKI1TTSKR.mp3,10/18/18 21:52
easyVer,431,AV5FCKI1TTSKR,director,Wes Anderson,can you give me a list of all the films directed by Wes Anderson,file:///Users/cathy/Projects/website1/results/voice3/easyVer+Wes Anderson+AV5FCKI1TTSKR.mp3,10/18/18 21:53
easyVer,432,AV5FCKI1TTSKR,deep feature 1,time travel,what are the top 5 time travel movies,file:///Users/cathy/Projects/website1/results/voice3/easyVer+time travel+AV5FCKI1TTSKR.mp3,10/18/18 21:53
easyVer,433,AV5FCKI1TTSKR,deep feature 2,interesting charactors,can you give me a list of the top 10 most interesting interesting characters according to IMDb,file:///Users/cathy/Projects/website1/results/voice3/easyVer+interesting charactors+AV5FCKI1TTSKR.mp3,10/18/18 21:53
easyVer,434,AV5FCKI1TTSKR,name,The Aviator,who is the actress who played Katharine Hepburn's character in The Avatar,file:///Users/cathy/Projects/website1/results/voice3/easyVer+The Aviator+AV5FCKI1TTSKR.mp3,10/18/18 21:53
easyVer,435,AV5FCKI1TTSKR,quality,best,what movie made of what movie won the Academy Award for Best Picture in 1999,file:///Users/cathy/Projects/website1/results/voice3/easyVer+best+AV5FCKI1TTSKR.mp3,10/18/18 21:54
easyVer,438,AV5FCKI1TTSKR,combination,horror  gt2010,do you have a list of horror movies newer than 2000 20000 2010,file:///Users/cathy/Projects/website1/results/voice3/easyVer+horror  gt2010+AV5FCKI1TTSKR.mp3,10/18/18 21:54
easyVer,440,AV5FCKI1TTSKR,combination,romantic  funny,can you give me a list of what you need romantic comedies at the theaters,file:///Users/cathy/Projects/website1/results/voice3/easyVer+romantic  funny+AV5FCKI1TTSKR.mp3,10/18/18 21:55
easyVer,442,A3UNS38BYD3OQR,Open question,movieopen Question 1,hey Google find me the latest comedy releases,file:///Users/cathy/Projects/website1/results/voice3/easyVer+movieopen Question 1+A3UNS38BYD3OQR.mp3,10/19/18 0:17
easyVer,443,A3UNS38BYD3OQR,Open question,movieopen Question 2,hey Google show me the top rated movies for this year,file:///Users/cathy/Projects/website1/results/voice3/easyVer+movieopen Question 2+A3UNS38BYD3OQR.mp3,10/19/18 0:18
easyVer,444,A3UNS38BYD3OQR,Open question,movieopen Question ,hey Google find me movies that were Academy Award winners in the last 2 years,file:///Users/cathy/Projects/website1/results/voice3/easyVer+movieopen Question +A3UNS38BYD3OQR.mp3,10/19/18 0:18
easyVer,445,A3UNS38BYD3OQR,genre,comedy,hey Google find me funny movies with Seth Rogen,file:///Users/cathy/Projects/website1/results/voice3/easyVer+comedy+A3UNS38BYD3OQR.mp3,10/19/18 0:19
easyVer,446,A3UNS38BYD3OQR,genre,romance,hey Google find me the top romance movies for 2018,file:///Users/cathy/Projects/website1/results/voice3/easyVer+romance+A3UNS38BYD3OQR.mp3,10/19/18 0:19
easyVer,447,A3UNS38BYD3OQR,region,Mexico,hey Google find me films made in Mexico,file:///Users/cathy/Projects/website1/results/voice3/easyVer+Mexico+A3UNS38BYD3OQR.mp3,10/19/18 0:20
easyVer,448,A3UNS38BYD3OQR,time,2010s,hey Google what are the best movies from 2010 to current,file:///Users/cathy/Projects/website1/results/voice3/easyVer+2010s+A3UNS38BYD3OQR.mp3,10/19/18 0:20
easyVer,449,A3UNS38BYD3OQR,director,Stephen Spielberg,hey Google what are Steven Spielberg's best movies,file:///Users/cathy/Projects/website1/results/voice3/easyVer+Stephen Spielberg+A3UNS38BYD3OQR.mp3,10/19/18 0:20
easyVer,450,A3UNS38BYD3OQR,deep feature 1,explosions,hey Google what are the best action movies with explosives,file:///Users/cathy/Projects/website1/results/voice3/easyVer+explosions+A3UNS38BYD3OQR.mp3,10/19/18 0:20
easyVer,451,A3UNS38BYD3OQR,deep feature 2,interesting charactors,hey Google find me movies with good character development in character death,file:///Users/cathy/Projects/website1/results/voice3/easyVer+interesting charactors+A3UNS38BYD3OQR.mp3,10/19/18 0:21
easyVer,452,A3UNS38BYD3OQR,name,When Harry Met Sally...,hey Google When Harry Met Sally IMDb,file:///Users/cathy/Projects/website1/results/voice3/easyVer+When Harry Met Sally...+A3UNS38BYD3OQR.mp3,10/19/18 0:21
easyVer,453,A3UNS38BYD3OQR,quality,critically acclaimed,hey Google what were the most critically acclaimed movies in 2018,file:///Users/cathy/Projects/website1/results/voice3/easyVer+critically acclaimed+A3UNS38BYD3OQR.mp3,10/19/18 0:21
easyVer,454,A3UNS38BYD3OQR,actor,Jennifer Lawrence,hey Google Jennifer Lawrence filmography,file:///Users/cathy/Projects/website1/results/voice3/easyVer+Jennifer Lawrence+A3UNS38BYD3OQR.mp3,10/19/18 0:22
easyVer,455,A3UNS38BYD3OQR,movie based,like Titanic,hey Google show me movies that are like the movie Titanic,file:///Users/cathy/Projects/website1/results/voice3/easyVer+like Titanic+A3UNS38BYD3OQR.mp3,10/19/18 0:22
easyVer,456,A3UNS38BYD3OQR,combination,gt2010  horror,hey Google show me the best horror movies from the last 10 years,file:///Users/cathy/Projects/website1/results/voice3/easyVer+gt2010  horror+A3UNS38BYD3OQR.mp3,10/19/18 0:22
easyVer,457,A3UNS38BYD3OQR,combination,animation  Japan,hey Google show me the best Japanese anime of 2018,file:///Users/cathy/Projects/website1/results/voice3/easyVer+animation  Japan+A3UNS38BYD3OQR.mp3,10/19/18 0:22
easyVer,458,A3UNS38BYD3OQR,combination,funny  romantic,hey Google I'd like to see the most romantic funny movies from the last 2 years,file:///Users/cathy/Projects/website1/results/voice3/easyVer+funny  romantic+A3UNS38BYD3OQR.mp3,10/19/18 0:23
easyVer,459,A3UNS38BYD3OQR,context,Friday night,hey Google show me the best movies for a Friday night,file:///Users/cathy/Projects/website1/results/voice3/easyVer+Friday night+A3UNS38BYD3OQR.mp3,10/19/18 0:23