movieId,title,genres,actors,directors,posterPath,plotSummary,releaseDate,languages,runtime
35836,The 40 Year Old Virgin,"Comedy,Romance","Steve Carell,Catherine Keener,Paul Rudd,Romany Malco,Seth Rogen,Jane Lynch,Leslie Mann,Elizabeth Banks,Kat Dennings,Mindy Kaling,Marilyn Dodds Frank,Gerry Bednob,Shelley Malil,Jordan Masterson,Chelsea Smith,Erica Vittina Phillips,Marika Dominczyk,Mo Collins,Lee Weaver,Stormy Daniels,Kevin Hart,Jonah Hill,Gillian Vigman,Kimberly Page,Siena Goines,Charlie Hartsock,Nancy Carell,Cedric Yarbrough,David Koechner,Jeff Kahn,Nick Lashaway,Loren Berman,Miki Mia,Jazzmun,Shannon Bradley,Brianna Brown,Liz Carey,Elizabeth DeCicco,Hilary Shepard,Barret Swatek,Carla Gallo,Michael Bierman,Marisa Guterman,Wayne Federman,Ron Marasco,Kate Luyben,Joe Nunez,Rose Abdoo,Steve Bannos,Brooke Hamlin,Miyoko Shimosawa,Ann Christine,Brandon Killham,Nicole Randall Johnson,Suzy Nakamura,Jenna Fischer,Stephanie Lemelin,Jamie Elle Mann,Leah McCormick,Samantha J. Reese,Brittney Skye,Phyllis Smith,Christopher T. Wood,Wyatt Smith,Kira Turnage,Penny Vital,Christa Nicole Wells",Judd Apatow,/kFXfr0ioXRfxz4AvQ6RJ7iFF6PI.jpg,"Andy Stitzer has a pleasant life with a nice apartment and a job stamping invoices at an electronics store. But at age 40, there's one thing Andy hasn't done, and it's really bothering his sex-obsessed male co-workers: Andy is still a virgin. Determined to help Andy get laid, the guys make it their mission to de-virginize him. But it all seems hopeless until Andy meets small business owner Trish, a single mom.",2005-08-11,"English,Español",116
53993,Evan Almighty,"Fantasy,Comedy,Family","Steve Carell,Morgan Freeman,Lauren Graham,Johnny Simmons,Graham Phillips,Jimmy Bennett,John Goodman,Wanda Sykes,John Michael Higgins,Jonah Hill,Molly Shannon,Harve Presnell,P. J. Byrne,Ralph Louis Harris,Arden Myrin,Brian Howe,Ralph P. Martin,Maile Flanagan,Angela Martinez,Ed Helms,Dean Norris,Harry S. Murphy,Don Dowe,Lucia Forte,James Newman,Jon Stewart,Catherine Bell",Tom Shadyac,/mtIjd19s4eOSkUm9P9iDVY35TsQ.jpg,God contacts Congressman Evan Baxter and tells him to build an ark in preparation for a great flood.,2007-06-09,English,96
55267,Dan in Real Life,"Comedy,Romance,Drama","Steve Carell,Juliette Binoche,Dane Cook,Dianne Wiest,John Mahoney,Emily Blunt,Alison Pill,Britt Robertson,Marlene Lawston,Norbert Leo Butz,Amy Ryan,Jessica Hecht,Frank Wood,CJ Adams,Henry Priest Miller,Amy Landecker,Matthew Morrison,Willa Cuthrell-Tuttleman,Shana Carr,Lucas Hedges,John Franchi",Peter Hedges,/2HnyNUcQ9B5OJVJBIbidb0F9gT1.jpg,"Advice columnist, Dan Burns is an expert on relationships, but somehow struggles to succeed as a brother, a son and a single parent to three precocious daughters. Things get even more complicated when Dan finds out that the woman he falls in love with is actually his brother's new girlfriend.",2007-10-26,English,98
60126,Get Smart,"Action,Comedy,Thriller","Steve Carell,Anne Hathaway,Dwayne Johnson,Alan Arkin,Terence Stamp,Terry Crews,David Koechner,James Caan,Bill Murray,Patrick Warburton,David S. Lee,Masi Oka,Nate Torrence,John Eddins,Dalip Singh Rana,Ken Davitian,Geoff Pierson,Kelly Karbacz,Bonnie Hellman,David A. Parker,John Farley,Arthur Darbinyan,Bill Romanowski,Mark Ivanir,Lindsay Hollister,Dimitri Diatchenko,Richard V. Licata,Greg Joung Paik,Joey Yu,Mike Akrawi,Kerry Lai Fatt,Jonathan Loughran,Felisha Terrell,Jeff Tanner,Jasper Pendergrass,David Schaap,Thomas Garner ,Danielle Bisutti,Jessica Barth,David Fabrizio,Alex Kudrytsky,Sergei Priselkov,Jane Gilchrist,Todd Sherry,David Aranovich,Ivy Bethune,Larry Miller,Kevin Nealon,Blake Clark,Cedric Yarbrough,James Moses Black,Bernie Kopell,Michael P. Catanzarite,Tim DeKay,Matthew Glave,Brad Grunberg,Leonard Stern,Stephen Dunham",Peter Segal,/zS3UhYJvy6oLTBgNckpoyAa0qNs.jpg,"When the identities of secret agents from Control are compromised, the Chief promotes hapless but eager analyst Maxwell Smart and teams him with stylish, capable Agent 99, the only spy whose cover remains intact. Can they work together to thwart the evil plans of KAOS and its crafty operative?",2008-06-19,"English,Pусский",110
79091,Despicable Me,"Animation,Family,Comedy","Steve Carell,Jason Segel,Russell Brand,Julie Andrews,Will Arnett,Kristen Wiig,Miranda Cosgrove,Dana Gaier,Elsie Fisher,Pierre Coffin,Chris Renaud,Jemaine Clement,Jack McBrayer,Danny McBride,Mindy Kaling,Rob Huebel,Ken Jeong,Ken Daurio,Scott Menville,Holly Dorff,Al Rodrigo,Wendy Hoffman,John Hans Tester,James Kyson,Charles Bright,Katie Leigh,Ranjani Brow,Edie Mirman,Jackie Gonneau,Jakob Roston,Tony Lee,Debi Mae West,Mikaila Baumel","Pierre Coffin,Chris Renaud",/4zHJhBSY4kNZXfhTlmy2TzXD51M.jpg,"Villainous Gru lives up to his reputation as a despicable, deplorable and downright unlikable guy when he hatches a plan to steal the moon from the sky. But he has a tough time staying on task after three orphans land in his care.",2010-07-08,English,95
79428,Dinner for Schmucks,Comedy,"Steve Carell,Paul Rudd,Zach Galifianakis,Jemaine Clement,Stephanie Szostak,Lucy Punch,Bruce Greenwood,David Walliams,Ron Livingston,Larry Wilmore,Kristen Schaal,P. J. Byrne,Andrea Savage,Nick Kroll,Randall Park,Lucy Davenport,Chris O'Dowd,Jeff Dunham,Octavia Spencer,Patrick Fischler,Rick Overton,Eric Winzenried,Nicole LaLiberte,Maria Zyrianova,Alex Borstein,Blanca Soto",Jay Roach,/3eaNh9o4idemfhnWGt95mBJks9H.jpg,"Rising executive Tim Wagner works for a boss who hosts a monthly dinner in which the guest who brings the biggest buffoon gets a career-boost. Tim plans on not attending until he meets Barry, a man who builds dioramas using stuffed mice. Barry's blundering but good intentions send Tim's life into a downward spiral, threatening a major business deal and possibly scuttling Tim's engagement to his fiancee.",2010-07-30,English,114
88163,"Crazy, Stupid, Love.","Comedy,Drama,Romance","Steve Carell,Julianne Moore,Ryan Gosling,Emma Stone,Marisa Tomei,Kevin Bacon,Analeigh Tipton,Jonah Bobo,Joey King,Beth Littleford,John Carroll Lynch,Liza Lapira,Josh Groban,Mekia Cox,Julianna Guill,Crystal Reed,Zayne Emory,Joanne Brooks,Caitlin Thompson,Каролина Видра,Tracy Mulholland,Katerina Mikailenko,Janine Barris,Jenny Mollen,Jessica Diz,Olga Fonda,Brian Patrick Butler,Julianna Rose","Glenn Ficarra,John Requa",/cPVdrpMuFffG44WclMDEGmIp37h.jpg,"Cal Weaver is living the American dream. He has a good job, a beautiful house, great children and a beautiful wife, named Emily. Cal's seemingly perfect life unravels, however, when he learns that Emily has been unfaithful and wants a divorce. Over 40 and suddenly single, Cal is adrift in the fickle world of dating. Enter, Jacob Palmer, a self-styled player who takes Cal under his wing and teaches him how to be a hit with the ladies.",2011-07-29,English,118
95309,Seeking a Friend for the End of the World,"Comedy,Drama,Romance,Science Fiction","Steve Carell,Keira Knightley,Connie Britton,Adam Brody,Rob Corddry,Derek Luke,Melanie Lynskey,William Petersen,Gillian Jacobs,T.J. Miller,Patton Oswalt,Bob Stephenson,Brad Morris,Nancy Carell,Mark Moses,Roger Aaron Brown,Rob Huebel,Trisha Gorman,Tonita Castro,Leslie Murphy,Kasey Campbell,Vince Grant,Amy Schumer,Marshall Manesh,Aleister,Rene Gube,Jim O'Heir,Daniel Maurio,Martin Sheen,Matthew Alan Brady,Tony Brown,Lauren Crawford,Laura Mann,Prestin Persson,Lauren K. Solomon,Chris Spinelli,Hannah Victoria Stock",Lorene Scafaria,/86v2AXXQP6mKNn3Nne910h7UlNK.jpg,"As an asteroid nears Earth, a man finds himself alone after his wife leaves in a panic. He decides to take a road trip to reunite with his high school sweetheart. Accompanying him is a neighbor who inadvertently puts a wrench in his plan.",2012-06-22,English,101
101283,The Incredible Burt Wonderstone,Comedy,"Steve Carell,Jim Carrey,Steve Buscemi,Olivia Wilde,James Gandolfini,Alan Arkin,Jay Mohr,Gillian Jacobs,Brad Garrett,David Copperfield,Fiona Hale,Michael Herbig,Leni Ito,Rusty Meyers,Augie Isaac",Don Scardino,/5WpMIIEfRaJL2WrgQMImu4S79ME.jpg,"After breaking up with his longtime stage partner, a famous but jaded Vegas magician fights for relevance when a new, ""hip"" street magician appears on the scene.",2013-03-14,English,100
103335,Despicable Me 2,"Animation,Comedy,Family","Steve Carell,Kristen Wiig,Benjamin Bratt,Miranda Cosgrove,Dana Gaier,Elsie Fisher,Russell Brand,Ken Jeong,Steve Coogan,Moisés Arias,Nasim Pedrad,Kristen Schaal,Pierre Coffin,Chris Renaud,Vanessa Bayer,Ava Acres,Lori Alan,Jack Angel,Eva Bella,John Cygan,Debi Derryberry,Jess Harnell,Danny Mann,Mona Marshall,Mickie McGowan,Alec Medlock,Laraine Newman,Jan Rabson,Katie Silverman,Jim Ward,April Winchell,Bailey Gambertoglio,Sherry Lynn,Nickolai Stoilov,Georgia Cook,Mason McNulty,Andre Robinson,Casey Simpson,Claira Nicole Titman","Pierre Coffin,Chris Renaud",/kQrYyZQHkwkUg2KlUDyvymj9FAp.jpg,Gru is recruited by the Anti-Villain League to help deal with a powerful new super criminal.,2013-06-25,English,98
116161,Foxcatcher,"Drama,Thriller","Steve Carell,Channing Tatum,Mark Ruffalo,Sienna Miller,Vanessa Redgrave,Anthony Michael Hall,Guy Boyd,Brett Rice,Jackson Frazer,Samara Lee,Francis J. Murphy III,Jane Mowder,David Bennett,Lee Perkins,Robert Haramia,Daniel Hilt,Bryan Cook,David Zabriskie,Zach Rey,Reece Humphrey,J.D. Bergman,Frederick Feeney",Bennett Miller,/vLZ8vG6qAeMW5iAtc4pJ5kJyqjr.jpg,The greatest Olympic Wrestling Champion brother team joins Team Foxcatcher led by multimillionaire sponsor John E. du Pont as they train for the 1988 games in Seoul - a union that leads to unlikely circumstances.,2014-05-19,English,134
172547,Despicable Me 3,"Action,Animation,Comedy","Steve Carell,Kristen Wiig,Trey Parker,Miranda Cosgrove,Dana Gaier,Nev Scharrel,Steve Coogan,Julie Andrews,Jenny Slate,Pierre Coffin,Chris Renaud,Andy Nyman,Michael Beattie,Tara Strong,Adrian Ciscato,Brian T. Delaney,Ken Daurio,Lori Alan,Carlos Alazraqui,Kyle Balda,Teresa Ganzel,Bob Bergen,Jess Harnell,Gregg Berger,John Kassir,Mona Marshall,John Cygan,Laraine Newman,Jan Rabson,Bill Farmer,Mindy Sterling,Danny Mann,Jim Ward,Matthew Wood,Katia Saponenko,Jude Alpers,Cory Walls,Sophie M. Siadatpour,Stephanie De Meautis,Bruno Dequier,Martavious Gayles,Gad Elmaleh,Arié Elmaleh,Audrey Lamy,David Marsais,David Marsais,Pierre Coffin,Sarah Brannens,Lévanah Solomon,Dizzie Le-Tan,Jean-Luc Atlan,Benoît Allemane,Frédérique Cantrel,Elsa Lepoivre,Xavier Fagnon,Philippe Spiteri","Kyle Balda,Pierre Coffin",/6t3YWl7hrr88lCEFlGVqW5yV99R.jpg,Gru and his wife Lucy must stop former '80s child star Balthazar Bratt from achieving world domination.,2017-06-15,English,96
179811,Last Flag Flying,"Drama,Comedy","Steve Carell,Bryan Cranston,Laurence Fishburne,J. Quinton Johnson,Richard Robichaux,Lee Harrington,Cicely Tyson,Kate Easton,Deanna Reed-Foster,Yul Vazquez,Graham Wolfe,Jerry Lee Tucker,Ted Watts Jr.,Dontez James,Richard Barlow,Jeff Monahan,Tammy Tsai,Jane Mowder,Cathy O'Dell",Richard Linklater,/pizynKUzJ9YucGff1O1MYisY1WM.jpg,"Thirty years after serving together in the Vietnam War, Larry ""Doc"" Shepherd, Sal Nealon and the Rev. Richard Mueller reunite for a different type of mission: to bury Doc's son, a young Marine killed in Iraq. Forgoing burial at Arlington National Cemetery, Doc and his old buddies take the casket on a bittersweet trip up the coast to New Hampshire. Along the way, the three men find themselves reminiscing and coming to terms with the shared memories of a war that continues to shape their lives.",2017-11-17,English,124
192383,Beautiful Boy,Drama,"Steve Carell,Timothée Chalamet,Maura Tierney,Amy Ryan,Timothy Hutton,Kaitlyn Dever,Stefanie Scott,Amy Forsyth,Julian Works,Christian Convery,Oakley Bull,Andre Royo,Mandeiya Flory,Ricky Low,LisaGay Hamilton,Carlton Wilborn,Kue Lawrence,Jack Dylan Grazer,Shea Whigham","Felix Van Groeningen,George Bamber",/sGrYucQAZmOHVfr8UyTpEoGlswt.jpg,Chronicles meth addiction and recovery through the eyes of a father who watches his son as he struggles with the disease.,2018-10-12,English,111
